DOW30;SP500;BOVESPA67;FTSE100;IBEX35;ATX20;NIKKEI225;SH1476;CH50;TAIWAN896;SET582;KARACHI100;COLCAP25
;0.277482;;0.28123;;;0.307622;0.184495;;0.175946;0.217548;0.270329;
;0.275154;;0.278063;;;0.306555;0.18398;;0.173707;0.217427;0.250403;
;0.274592;;0.272531;;;0.305241;0.181847;;0.171798;0.217314;0.244938;
;0.268403;;0.272474;;;0.303107;0.178669;;0.171794;0.215947;0.240621;
;0.263656;;0.270928;;;0.302286;0.175054;;0.170439;0.197062;0.22805;
;0.261728;;0.266721;;;0.299494;0.174134;;0.166927;0.196931;0.228027;
;0.260884;;0.266197;;;0.296128;0.174031;;0.165163;0.195298;0.222545;
;0.259485;;0.261329;;;0.284635;0.173883;;0.164821;0.188659;0.215773;
;0.258173;;0.253349;;;0.283896;0.172526;;0.157458;0.18402;0.210713;
;0.257665;;0.247919;;;0.27782;0.170012;;0.151644;0.183664;0.206392;
;0.256807;;0.233793;;;0.27388;0.169936;;0.15028;0.18138;0.186829;
;0.251713;;0.230997;;;0.26058;0.16697;;0.149818;0.179713;0.18162;
;0.251538;;0.230262;;;0.257953;0.162963;;0.148083;0.179302;0.16394;
;0.250266;;0.22347;;;0.253519;0.162847;;0.145183;0.175811;0.150244;
;0.248509;;0.221571;;;0.248265;0.159772;;0.134673;0.174379;0.144687;
;0.246471;;0.209994;;;0.247937;0.159158;;0.134328;0.172205;0.143977;
;0.245982;;0.202677;;;0.236032;0.157797;;0.129522;0.170944;0.136037;
;0.244527;;0.193528;;;0.231106;0.157045;;0.129063;0.164856;0.107547;
;0.238004;;0.17542;;;0.211157;0.154715;;0.128884;0.159465;0.060951;
;0.233912;;0.173794;;;0.207708;0.152646;;0.128621;0.15707;0.045551;
;0.233463;;0.168985;;;0.203604;0.150542;;0.12779;0.152118;0.037954;
;0.233017;;0.141617;;;0.203111;0.146854;;0.127615;0.152052;0.010696;
;0.232609;;0.093986;;;0.202454;0.145432;;0.127475;0.15005;;
;0.229139;;;;;0.202454;0.145095;;0.125323;0.147283;;
;0.225495;;;;;0.201141;0.144789;;0.124157;0.146414;;
;0.221585;;;;;0.200155;0.144693;;0.120778;0.143018;;
;0.221217;;;;;0.196707;0.144572;;0.119848;0.139778;;
;0.219126;;;;;0.193834;0.143793;;0.116937;0.136641;;
